Time ,Group,Death
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Virgin,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
20,Mated,1
24,Virgin,1
24,Mated,1
24,Mated,1
24,Mated,1
24,Mated,1
24,Mated,1
24,Mated,1
28,Virgin,1
28,Virgin,1
28,Mated,1
28,Mated,1
28,Mated,1
28,Mated,1
32,Virgin,1
32,Mated,1
32,Mated,1
44,Virgin,1
44,Virgin,1
44,Mated,1
44,Mated,1
56,Virgin,1
68,Virgin,1
68,Mated,1
68,Mated,0
68,Mated,0
68,Mated,0
68,Mated,0
68,Mated,0
68,Mated,0
68,Mated,0
68,Mated,0
68,Mated,0
68,Virgin,0
68,Virgin,0
68,Virgin,0
68,Virgin,0
68,Virgin,0
68,Virgin,0
68,Virgin,0
68,Virgin,0
68,Virgin,0
68,Virgin,0
68,Virgin,0
68,Virgin,0
68,Virgin,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
68,Control,0
